description,taste
very sweet and juicy fruit,sweet
tangy and sour in taste,sour
sugary and soft texture,sweet
acidic and tart,sour
honey-like and pleasant flavor,sweet
bitter citrus flavor,sour
tastes like sugar candy,sweet
mouth-puckering taste,sour
mildly sweet and fragrant,sweet
sour and zesty,sour
sweet tropical aroma,sweet
sharp tangy flavor,sour
refreshing and sugary,sweet
strong lemon taste,sour
naturally sweet and pulpy,sweet
bitter and acidic fruit,sour
creamy and sweet flavor,sweet
sour and tangy pulp,sour
caramel-like sweetness,sweet
vinegar-like taste,sour
soft sugary taste,sweet
zesty and mouth-twisting,sour
delightfully sweet aftertaste,sweet
intensely tangy burst,sour
rich honey-flavored juice,sweet
citrusy sour sensation,sour
smooth sugary essence,sweet
sharp and acidic tone,sour
mellow and creamy sweetness,sweet
bitter-sour edge,sour
sweet and refreshing flavor,sweet
sour with slight bitterness,sour
sweet like nectar,sweet
lemony acidic flavor,sour
pleasantly sugary and juicy,sweet
strong tangy punch,sour
mildly sweet and smooth,sweet
puckering sour mouthfeel,sour
super sweet and aromatic,sweet
extremely sour and sharp,sour
sweet sugary and tropical vibe,sweet
vinegary sour and bitter taste,sour
richly sweet and juicy texture,sweet
acidic and tangy mouthfeel,sour
deliciously sweet and fragrant,sweet
tangy with a sharp twist,sour
sugary syrup-like texture,sweet
sour and bitter aftertaste,sour
soft mellow sweetness,sweet
powerfully sour and tart flavor,sour
subtly sweet with creamy tones,sweet
very acidic and lemon-like,sour
sweet and smooth sensation,sweet
sour sharp and tangy juice,sour
sweet caramel aroma,sweet
extreme citrus sourness,sour
sweet sugary tropical scent,sweet
bitter-tangy mixture,sour
natural sugar-like sweetness,sweet
refreshing sour bite,sour
soft sugary mouthfeel,sweet
pungent acidic kick,sour
pleasantly mild sweetness,sweet
zesty acidic tang,sour
sweet honey-dripping texture,sweet
intense sour citrus hint,sour
warm sugary aroma,sweet
crisp and sour freshness,sour
gentle natural sweetness,sweet
lemon-sharp sourness,sour
soft creamy sweet feeling,sweet
biting acidic taste,sour
rich and sugary mouthfeel,sweet
tart and mouth-puckering bite,sour
syrupy and fruity sweetness,sweet
sour and bitter citrus tone,sour
smooth velvety sweetness,sweet
tangy and strong sourness,sour
pleasant sugary aroma,sweet
sour and vinegar-like punch,sour
delightful natural sweetness,sweet
acidic citrus tang,sour
sweet mellow and juicy,sweet
extreme tangy bite,sour
light sugary flavor,sweet
bitter lemony sharpness,sour
soft tropical sweetness,sweet
acidic tangy taste,sour
sweet rich and juicy texture,sweet
tart and zesty sourness,sour
creamy and sugary mouthfeel,sweet
citrus tang and bitterness,sour
rich syrupy sweetness,sweet
refreshing tangy acidity,sour
sweet smooth and gentle flavor,sweet
biting sour aftertaste,sour
strong sugary and pleasant scent,sweet
tart lemon-like sensation,sour
sugary juicy taste,sweet
tangy and acidic essence,sour
sweet like sugar syrup,sweet
sour with bitter finish,sour
